date,time,load_act
20240702,2000,3715
20240702,2100,3488
20240702,2200,3296
20240702,2300,3082
20240703,0,2825
20240703,100,2640
20240703,200,2564
20240703,300,2544
20240703,400,2547
20240703,500,2570
20240703,600,2715
20240703,700,3004
20240703,800,3455
20240703,900,3797
20240703,1000,4002
20240703,1100,4236
20240703,1200,4296
20240703,1300,4524
20240703,1400,4590
20240703,1500,4561
20240703,1600,4511
20240703,1700,4337
20240703,1800,4191
20240703,1900,4051
20240703,2000,3823
20240703,2100,3585
20240703,2200,3386
20240703,2300,3177
20240704,0,2900
20240704,100,2710
20240704,200,2627
20240704,300,2610
20240704,400,2615
20240704,500,2659
20240704,600,2893
20240704,700,3347
20240704,800,4019
20240704,900,4541
20240704,1000,4773
20240704,1100,4931
20240704,1200,4945
20240704,1300,5058
20240704,1400,4993
20240704,1500,4916
20240704,1600,4946
20240704,1700,4755
20240704,1800,4564
20240704,1900,4407
20240704,2000,4172
20240704,2100,3907
20240704,2200,3668
20240704,2300,3395
20240705,0,3080
20240705,100,2854
20240705,200,2747
20240705,300,2710
20240705,400,2687
20240705,500,2728
20240705,600,2972
20240705,700,3439
20240705,800,4047
20240705,900,4542
20240705,1000,4791
20240705,1100,4947
20240705,1200,4950
20240705,1300,5112
20240705,1400,5139
20240705,1500,5119
20240705,1600,5079
20240705,1700,4854
20240705,1800,4617
20240705,1900,4420
20240705,2000,4147
20240705,2100,3874
20240705,2200,3673
20240705,2300,3417
20240706,0,3119
20240706,100,2905
20240706,200,2793
20240706,300,2742
20240706,400,2706
20240706,500,2678
20240706,600,2768
20240706,700,3082
20240706,800,3544
20240706,900,3988
20240706,1000,4108
20240706,1100,4243
20240706,1200,4281
20240706,1300,4378
20240706,1400,4417
20240706,1500,4256
20240706,1600,4076
20240706,1700,3894
20240706,1800,3815
20240706,1900,3741
20240706,2000,3596
20240706,2100,3410
20240706,2200,3254
20240706,2300,3069
20240707,0,2839
20240707,100,2659
20240707,200,2570
20240707,300,2541
20240707,400,2521
20240707,500,2496
20240707,600,2576
20240707,700,2825
20240707,800,3209
20240707,900,3609
20240707,1000,3873
20240707,1100,4052
20240707,1200,4201
20240707,1300,4265
20240707,1400,4251
20240707,1500,4266
20240707,1600,4332
20240707,1700,4340
20240707,1800,4326
20240707,1900,4264
20240707,2000,4077
20240707,2100,3841
20240707,2200,3596
20240707,2300,3351
20240708,0,3059
20240708,100,2843
20240708,200,2730
20240708,300,2698
20240708,400,2708
20240708,500,2777
20240708,600,3118
20240708,700,3714
20240708,800,4395
20240708,900,4918
20240708,1000,5146
20240708,1100,5217
20240708,1200,5131
20240708,1300,5356
20240708,1400,5490
20240708,1500,5436
20240708,1600,5424
20240708,1700,5223
20240708,1800,5028
20240708,1900,4829
20240708,2000,4564
20240708,2100,4241
20240708,2200,3961
20240708,2300,3639
20240709,0,3281
20240709,100,3041
20240709,200,2912
20240709,300,2868
20240709,400,2853
20240709,500,2916
20240709,600,3200
20240709,700,3759
20240709,800,4330
20240709,900,4708
20240709,1000,4738
20240709,1100,4795
20240709,1200,4849
20240709,1300,5035
20240709,1400,5035
20240709,1500,4833
20240709,1600,4748
20240709,1700,4584
20240709,1800,4508
20240709,1900,4390
20240709,2000,4183
20240709,2100,3930
20240709,2200,3723
20240709,2300,3459
20240710,0,3141
20240710,100,2918
20240710,200,2809
20240710,300,2761
20240710,400,2757
20240710,500,2815
20240710,600,3071
20240710,700,3575
20240710,800,4254
20240710,900,4726
20240710,1000,4869
20240710,1100,4887
20240710,1200,4731
20240710,1300,4795
20240710,1400,4823
20240710,1500,4769
20240710,1600,4725
20240710,1700,4500
20240710,1800,4371
20240710,1900,4237
20240710,2000,4027
20240710,2100,3809
20240710,2200,3615
20240710,2300,3380
20240711,0,3107
20240711,100,2930
20240711,200,2855
20240711,300,2837
20240711,400,2844
20240711,500,2904
20240711,600,3127
20240711,700,3503
20240711,800,3951
20240711,900,4288
20240711,1000,4393
20240711,1100,4423
20240711,1200,4222
20240711,1300,4311
20240711,1400,4268
20240711,1500,4240
20240711,1600,4232
20240711,1700,4094
20240711,1800,4014
20240711,1900,3910
20240711,2000,3727
20240711,2100,3527
20240711,2200,3346
20240711,2300,3147
20240712,0,2901
20240712,100,2725
20240712,200,2644
20240712,300,2631
20240712,400,2648
20240712,500,2693
20240712,600,2876
20240712,700,3242
20240712,800,3695
20240712,900,4012
20240712,1000,4047
20240712,1100,4007
20240712,1200,3779
20240712,1300,3879
20240712,1400,3841
20240712,1500,3767
20240712,1600,3757
20240712,1700,3648
20240712,1800,3587
20240712,1900,3498
20240712,2000,3339
20240712,2100,3151
20240712,2200,3021
20240712,2300,2870
20240713,0,2668
20240713,100,2513
20240713,200,2447
20240713,300,2442
20240713,400,2441
20240713,500,2390
20240713,600,2414
20240713,700,2619
20240713,800,2957
20240713,900,3319
20240713,1000,3562
20240713,1100,3670
20240713,1200,3693
20240713,1300,3695
20240713,1400,3684
20240713,1500,3623
20240713,1600,3499
20240713,1700,3419
20240713,1800,3415
20240713,1900,3395
20240713,2000,3276
20240713,2100,3124
20240713,2200,2998
20240713,2300,2860
20240714,0,2651
20240714,100,2495
20240714,200,2422
20240714,300,2412
20240714,400,2412
20240714,500,2405
20240714,600,2431
20240714,700,2576
20240714,800,2792
20240714,900,2997
20240714,1000,3028
20240714,1100,3081
20240714,1200,3135
20240714,1300,3186
20240714,1400,3266
20240714,1500,3278
20240714,1600,3323
20240714,1700,3357
20240714,1800,3388
20240714,1900,3347
20240714,2000,3218
20240714,2100,3062
20240714,2200,2931
20240714,2300,2780
20240715,0,2581
20240715,100,2424
20240715,200,2360
20240715,300,2360
20240715,400,2376
20240715,500,2403
20240715,600,2489
20240715,700,2686
20240715,800,3012
20240715,900,3283
20240715,1000,3311
20240715,1100,3322
